Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2000,M,M,M,M,M,M,M,M,M,57.8,M,M,57.8
2001,34.6,39.5,42.6,54.9,63.6,73.9,73.8,78,67.7,58.3,52.8,45.3,57.1
2002,41.3,40.8,45.8,57.4,63.6,74.5,79,78.5,71.5,59.6,47.3,36.9,58
2003,30.2,33.5,45.7,54.3,60.9,72.1,77.8,77.6,70.4,57.2,52.2,38.7,55.9
2004,31.5,37.9,46.7,55.4,70.6,72,77,74.5,70.4,57.8,50.2,M,58.5
2005,36.1,37.9,41.7,55.9,60,74,79.1,78.9,72.4,60.4,52.5,37,57.2
2006,M,38.5,46.8,M,64.4,73.1,79.2,79.3,67.7,M,50.8,44.5,60.5
2007,40.5,30.9,46.5,53,65.5,74.9,77.1,78.2,71.7,66.6,48.9,41.5,57.9
2008,M,40.8,48.5,56.6,63.3,76.1,77.4,74.6,71.3,58.3,47.2,43,59.7
2009,32.6,39.9,44.2,56.6,65.7,74,76.5,78,68.8,58.9,51.9,38.9,57.2
2010,34.9,33.2,49,59.3,68.6,79.1,81.8,78.9,73.9,59.9,49.3,32.9,58.4
2011,32.1,41.1,45.4,58.4,68.1,76.8,81.3,77,71.8,58.6,52.4,44.9,59
2012,41.3,42.4,54.6,56.8,69.4,74.4,82.9,78.5,70,61,45.6,45.2,60.2
2013,39.3,37.9,41.5,56.4,65.7,75.6,79.3,73.5,67.9,59.9,46.6,41,57.1
2014,30.8,35.5,40.3,53.8,65.7,73.9,76.1,73,70.4,60.8,45.4,41.7,55.6
2015,33.4,27.4,41.1,55.2,68.9,75.6,77.3,74.6,72.7,58.4,52.4,51.4,57.4
2016,35.5,39.9,51.3,55.2,62.3,74.4,81,79.9,73.4,61.9,50.2,40.5,58.8
2017,40.4,45.1,45.5,61.7,64,74.6,79.7,74.8,70.5,63.1,49.3,37.3,58.8
2018,33.3,44.6,41.2,55.6,73.4,77.7,78.9,80.7,77.4,63,46.2,46.8,59.9
2019,39.1,40.8,44.3,59.8,70.5,76,81.5,78.6,74.7,64.4,46.3,41.5,59.8
2020,42.1,43.7,52.1,55.3,62.6,76,82.8,78.6,70.5,M,M,M,62.6
2021,M,38.1,50,57.4,65.5,76.2,79.5,80.2,73.5,67.3,49.1,47.9,62.2
2022,36,43,50.3,56.4,68.2,76,81.2,80.4,73.2,58.7,53.4,40.6,59.8
2023,46.5,46.9,49.6,61.6,65.2,73.2,82.1,79.3,74,63.7,50.4,46.2,61.6
2024,41.8,43.7,52,60.6,70,79.2,82.6,M,M,M,M,M,61.4
Mean,36.8,39.3,46.5,56.8,66.1,75.1,79.4,77.6,71.6,60.7,49.6,42.1,58.9
Max,46.5,46.9,54.6,61.7,73.4,79.2,82.9,80.7,77.4,67.3,53.4,51.4,62.6
,2023,2023,2012,2017,2018,2024,2012,2018,2018,2021,2022,2015,
Min,30.2,27.4,40.3,53,60,72,73.8,73,67.7,57.2,45.4,32.9,55.6
,2003,2015,2014,2007,2005,2004,2001,2014,2001,2003,2014,2010,